INPUT,REFERENCE,MACHINE_TRANSLATION,TER_Score,Average TER_Score
Ket ni Jehova Dios kinunana Saan a nasayaat nga agmaymaysa ti tao yaramidacto ti catulonganna a maitutop kencuana,at sinabi ng panginoong dios hindi mabuti na ang lalake ay magisa siyay ilalalang ko ng isang katulong niya,at si panginoon dios sinabi ba na bahay na kasama ang tao yaramidacto ang ko na pamamaga kaniya,84.21,
Ni Jehova Dios binukelna iti daga amin nga ananimal iti daga ken amin a tumatayab cadagiti langit ket inyegna ida iti tao tapno makitana no casano ti panangpanaganna cadacuada ket cas ti pinangnagan ti tao iti amin a parsua a sibibiag dayta isu ti naganna,at nilalang ng panginoong dios sa lupa ang lahat ng hayop sa parang at ang lahat ng ibon sa himpapawid at pinagdadala sa lalake upang maalaman kung anong itatawag niya sa mga iyon at ang bawat itinawag ng lalake sa bawat kinapal na may buhay ay yaon ang naging pangalan niyaon,si panginoon dios binukelna sa lupain lahat na ananimal sa lupain sa lahat na ibon sa langit at dinala sila sa tao upang magkabikabilang at paanong ang panangpanaganna kanila at at ang pinangnagan ang tao sa lahat na may na panginoon hinabol kaniyang ang kaniyang ,74.51,
Ket pinanaganan ti lalaki amin nga animal a naamo ken tumatayab iti langlangit ken ti amin a narungsot iti away ngem ti tao saan a nacasarac ti catulongan a maitutop kencuana,at pinanganlan ng lalake ang lahat ng mga hayop at ang mga ibon sa himpapawid at ang bawat ganid sa parang datapuwat sa lalake ay walang nasumpungang maging katulong niya,at pinanganlan ang lalake lahat na makakain na naamo sa ibon sa langit sa ang lahat na hayop sa yumaon ngunit ang tao ba na nacasarac ang catulongan na pamamaga kaniya,76.67,
Ket di tao kinunana Daytoy ita isu ti tulang dagiti tulangco ken lasag ti lasagco isu mapanagananto Babai ta iti Tao ti nacaalaanna,at sinabi ng lalake ito ngay buto ng aking mga buto at laman ng aking laman siyay tatawaging babae sapagkat sa lalake siya kinuha,at baka lalaking sinabi ito ngayon kaniyang ang tulang ang aking sa laman ang laman kaniyang mapanagananto babae at sa tao ang nacaalaanna,75.0,
Ti Pannacapagtalawda sadiay Eden,ang ahas nga ay lalong tuso kay sa alin man sa mga hayop sa parang na nilikha ng panginoong dios,ang ahas macpela eden,90.0,
Itan ti uleg isu idi a casisicapan cadagiti amin nga animal iti daga nga inaramid ni Jehova Dios,at sinabi niya sa babae tunay bang sinabi ng dios huwag kayong kakain sa alin mang punong kahoy sa halamanan,sinabi ang ahas kaniyang nang na casisicapan sa lahat na hayop sa lupain na ginawa si panginoon dios,90.0,
Ket isu kinunana iti babai Pudno aya a kinuna ti Dios Saancay a mangan iti amin a cayo iti minuyongan,at sinabi ng babae sa ahas sa bunga ng mga punong kahoy sa halamanan ay makakakain kami,at kaniyang sinabi sa babae tunay ba na hari ang dios halamanan na alin sa lahat na kahoy sa halamanan ,88.24,
Ket ti babai kinunana iti uleg cadagiti bunga dagiti caycayo iti minuyongan maipalubos a mangancami,datapuwat sa bunga ng punong kahoy na nasa gitna ng halamanan ay sinabi ng dios huwag kayong kakain niyaon ni huwag ninyong hihipuin baka kayoy mamatay,at ang babae sinabi sa ahas sa bunga ang kahoy sa halamanan sinabi na dios,88.46,
Ngem iti bunga ti cayo nga adda iti tengnga ti minuyongan kinuna ti Dios Dicayto canen ken uray sagiden di la ket ta mataycayo,at sinabi ng ahas sa babae tunay na hindi kayo mamamatay,ngunit sa bunga ang kahoy na nagkaroon sa gitna ang halamanan sinabi ang dios huwag kakanin sa kahit natin baka kanilang at at mataycayo,200.0,
Ket ti uleg kinunana iti babai Saan a pudno a mataycayonto,sapagkat talastas ng dios na sa araw na kayoy kumain niyaon ay madidilat nga ang inyong mga mata at kayoy magiging parang dios na nakakakilala ng mabuti at masama,at ang ahas sinabi sa babae ba na tunay na madidilat,93.1,
Ta ti Dios ammona nga iti aldaw a pananganyo iti dayta dagiti matayo maluctandanto ket caslacayton iti Dios a macaammo ti naimbag ken ti dakes,at nang makita ng babae na ang bunga ng punong kahoy ay mabuting kanin at nakalulugod sa mga mata at kahoy na mananasa upang magpapantas sa tao ay pumitas siya ng bunga niyaon at kinain at binigyan din niya ang kaniyang asawang kasama niya at itoy kumain,at ang dios aking na sa araw na bunga sa panginoon ang inyong kanin at nakalulugod sa dios na bagay ang mabuti sa ang masama,80.85,
Ket idi ti babai nakitana nga ti cayo nasayaat a canen ken macaayayo a buyaen ken cayo a macagargari a mamagsirib pimmuros iti bungana ket nangan casta met iniccanna ni asawana ket isu nakipagcaan met,at nadilat kapuwa ang kanilang mga mata at kanilang nakilalang silay mga hubad at silay tumahi ng mga dahon ng puno ng igos at kanilang ginawang panapi,at nang ang babae nakita na ang kahoy mabuti na lumabas sa hubad na buyaen sa kahoy na macagargari na mamagsirib igos sa kayo at ginawang may din nagbigay si kaniyang at kaniyang nakipagcaan din ,118.52,
Ket dagiti matmatada a dua naluctanda ket naammoanda a silalamolamoda idin nagdaitda cadagiti bulong ti higos ket inaramidda a bidangda,at narinig nila ang tinig ng panginoong dios na lumalakad sa halamanan sa kulimlim ng araw at nagtago ang lalake at ang kaniyang asawa sa harapan ng panginoong dios sa pagitan ng mga punong kahoy sa halamanan ,at ang matmatada na dalawa naluctanda at lumalakad na silalamolamoda sila nagdaitda sa kulimlim ang puno at gumawa na lalake,83.78,
Ket nangngegda ti timec ni Jehova Dios a magmagna iti minuyongan iti lamiis ti aldaw ket naglemmeng ti lalaki ken ti asawana cadagiti cacaycayoan iti minuyongan iti imatang ni Jehova Dios,at tinawag ng panginoong dios ang lalake at sa kaniyay sinabi saan ka naroon,at nangatakot ang dininig si panginoon dios na magmagna sa halamanan sa ka ang araw at nagtago ang lalake sa ang asawana sa cacaycayoan sa halamanan sa paningin si panginoon dios ,185.71,
Ket inawagan ni Jehova Dios ti lalaki ket kinunana kencuana Sadino ti yanmo sica,at sinabi niya narinig ko ang iyong tinig sa halamanan at akoy natakot sapagkat akoy hubad at akoy nagtago,at sinabi si panginoon dios ang lalake at sinabi kaniya saan ang paa ikaw,78.95,
Ket isu kinunana Nangngegco ti timecmo iti minuyongan ket nagbutengac ta silalamolamoac ket naglemmengac,at sinabi niya sinong nagsabi sa iyong ikaw ay hubad,at kaniyang sinabi nagsabi ang tinig sa halamanan at nagbutengac at silalamolamoac at naglemmengac,110.0,
Ket kinunana kencuana Siasino aya ti nangibaga kenca a silalamolamoca,nakakain ka ba ng bunga ng punong kahoy na iniutos ko sa iyong huwag mong kanin,at sinabi kaniya sinomang ba ang inyo iyo na silalamolamoca,93.75,
Nanganca iti cayo nga imbilinco kenca a dica canen,at sinabi ng lalake ang babaing ibinigay mong aking kasamahin ay siyang nagbigay sa akin ng bunga ng punong kahoy at aking kinain,kakain sa kahoy na lahat iyo na mo lumabas,95.65,
Ket ti lalaki kinunana Ti babai nga intedmo a caduac iniccannac iti bungana ket kinnanco,at sinabi ng panginoong dios sa babae ano itong iyong ginawa,at ang lalake sinabi ang iyong na ibinigay na akin nagbigay sa kayo at kinnanco,118.18,
Idin ni Jehova Dios kinunana iti babai Ania daytoy nga inaramidmo,at sinabi ng babae dinaya ako ng ahas at akoy kumain,sinabi si panginoon dios sinabi sa babae alin mo na ito,100.0,
Ket ti babai kinunana Ti uleg inulbodnac ket nanganac,at sinabi ng panginoong dios sa ahas sapagkat ginawa mo ito ay sumpain ka ng higit sa lahat ng hayop at ng higit sa bawat ganid sa parang ang iyong tiyan ang ilalakad mo at alabok ang iyong kakanin sa lahat ng mga araw ng iyong buhay,at ang babae sinabi ang ahas inulbodnac at nanganac,91.49,
Ket ni Jehova Dios kinunana idi uleg Gapu ta inaramidmo daytoy nailunodca a nangnangrona ngem cadagiti isuamin nga animal a naamo ken animal a narungsot iti daga ta barucongmo ti ipagnamto ket ti tapuc ti canemto iti isuamin nga aldaw ti panagbiagmo,at papagaalitin ko ikaw at ang babae at ang iyong binhi at ang kaniyang binhi ito ang dudurog ng iyong ulo at ikaw ang dudurog ng kaniyang sakong,at si panginoon dios sinabi nang ahas dahil at ito ito sinumpa na nangnangrona ngunit sa isuamin na makakain na naamo sa hayop na hayop sa lupain at iyong ang ipagnamto at ang nangagsisiusad ang canemto sa isuamin na araw ang lupain ,132.14,
Ket Siac pagginnuraencayto iti babai ken ti caputotam ken ti caputotanna daytoy sugatennanto ta olom ket sica sugatemto ti mucodna,sinabi niya sa babae pararamihin kong lubha ang iyong kalumbayan at ang iyong paglilihi manganganak kang may kahirapan at sa iyong asawa ay pahihinuhod ang iyong kalooban at siyay papapanginoon sa iyo,at hindi pararamihin sa babae sa ang iyo sa ang niya mo iyong at manganganak at iyong sugatemto ang mucodna,75.0,
Ket idi babai kinunana Paaduecto unay dagiti ututmo ken ti panagsicugmo iti adu a rigat ipasngaymonto dagiti annacmo ket iti asawam isunto ti calicaguman ket isu iturayannacanto,at kay adam ay sinabi sapagkat iyong dininig ang tinig ng iyong asawa at kumain ka ng bunga ng punong kahoy na aking iniutos sa iyo na sinabi huwag kang kakain niyaon sumpain ang lupa dahil sa iyo kakain ka sa kaniya sa pamamagitan ng iyong pagpapagal sa lahat ng mga araw ng iyong buhay,at nang babae sinabi paaduecto totoong ang ututmo sa ang panagsicugmo sa ako na panginoon ipasngaymonto ang anak at sa dawag ito ang kalooban at kaniyang sinabi ,87.27,
Ket ken Adan kinunana Gapu ta inanamungam ti sao ni asawam ket nanganca iti cayo nga inbilinco kenca a kinunac Dica manganto iti daydiay nailunod ti daga gapu kenca babaen ti rigat mangancanto kencuana iti isuamin nga aldaw ti panagbiagmo,ang isisibol niyaon sa iyo ay mga tinik at mga dawag at kakain ka ng pananim sa parang,at sa isisibol kaniyang dahil at inanamungam ang salita si dawag at kakain sa kahoy na inbilinco iyo na yaon mo malinis sa kaniyang nailunod ang lupain dahil ko pamamagitan ang panginoon kakain kaniya sa isuamin na araw ang lupain ,188.89,
Sisiit met ken calcalunay pataudennanto kenca ket mangancanto iti natnateng ti daga,sa pawis ng iyong mukha ay kakain ka ng tinapay hanggang sa ikaw ay mauwi sa lupa sapagkat diyan ka kinuha sapagkat ikaw ay alabok at sa alabok ka uuwi,sisiit kaniyang sa iyong mukha iyo at kakain sa tinapay ang lupain,86.67,
Babaen ti linget ta rupam mangancanto ti taraon agingat dica agsubli iti daga isu a nacabuclam ta tapucca ket iti tapuc agsublicanto,at tinawag na eva ng lalake ang kaniyang asawa sapagkat siya ang naging ina ng lahat ng mga nabubuhay,pamamagitan ang linget at iyong kakain ang pagkain agingat huwag nagbalik sa lupain kaniyang na nacabuclam at nabubuhay at sa nangagsisiusad agsublicanto,110.53,
Ket pinanaganan di lalaki ni asawana iti Eva gapu ta isu ti ina dagiti isuamin a nabiag,at iginawa ng panginoong dios si adam at ang kaniyang asawa ng mga kasuutang balat at silay dinamitan,at pinanaganan baka lalake si kaniyang sa kaniyang dahil at kaniyang ang ina ang isuamin na may,83.33,
Ket ni Jehova Dios inyaramidanna ni Adan ken ni asawana cadagiti pagananay a lalat ket kinawesanna ida,pinalayas sila sa eden,at si panginoon dios iginawa si naging sa si kaniyang sa siyay na balat at sinuutan sila,400.0,
Iti casta ni Jehova Dios pinaruarna iti minuyongan ti Eden tapno talonenna ti daga a nacaalaanna,kaya pinalayas siya ng panginoong dios sa halamanan ng eden upang kaniyang bukirin ang lupaing pinagkunan sa kaniya,sa gayoy si panginoon dios pinaruarna sa halamanan ang eden upang talonenna ang lupain na nacaalaanna,72.22,
Da Cain ken Abel,si cain at si abel,moises nilingap sa abel,80.0,
Ket nagaywan ni Abel cadagiti carcarnero ngem ni Cain nagtaltalon,at si abel ay tagapagalaga ng mga tupa datapuwat si cain ay mangbubukid ng lupa,at tumitingin si abel sa gayon ngunit si cain cain ,73.33,
Ket ni Abel nangala met cadagiti inauna nga anac cadagiti pangenna ken dagiti nalucmeg,at nagdala rin naman si abel ng mga panganay ng kaniyang kawan at ng mga taba ng mga yaon,at si abel nangala din sa panganay na bakit sa kaniyang sa ang nalucmeg,84.21,
,,,,44.694300000000005
