INPUT,REFERENCE,MACHINE_TRANSLATION,BLEU_SCORE
Tallopulo a malucong a balitoc malmalucong a pirac ti maicadua a kita uppat a gasutda ket sangapulo ket dagiti sabsabali nga alalicamen sangaribuda,tatlong pung mangkok na ginto mga mangkok na pilak na ikalawang ayos ay apat na raan at sangpu at ang ibang mga sisidlan ay isang libo,tatlong na mangkok na ginto malmalucong na pilak ang ikalawang na lalake apat na tao at lalake at ang ibang na alalicamen sangaribuda,0.6154985135025105
Amin dagiti alalicamen a balitoc ken pirac lima ribuda ket uppat a gasut,lahat na sisidlang ginto at pilak ay limang libo at apat na raan,lahat ang alalicamen na ginto sa pilak lalake ribuda at apat na siyam,0.5447146497385448
Amin dagitoy innala ni Sesbassar idi dagiti naggapu iti pannacacayaw naisangatda a naigapu iti Babilonia agingga iti Jerusalem,ang lahat ng mga ito ay ipinaahon ni sesbassar nang silang sa pagkabihag ay ipagahong mula sa babilonia hanggang sa jerusalem,lahat ito dinala si sesbassar nang ang kaniyang sa assur naisangatda na naigapu sa babilonia lumusong sa jerusalem,0.5721469222212593
Ket dagitoy dagiti annac a naggapu iti provincia a simmangatda a naggapu ti pannacacayaw dagiti naipanaw a ni Nabucodonosor nga ari ti Babilonia impanna idi iti Babilonia ket nagsublida iti Jerusalem ken iti Juda tunggal maysa iti ilina,ang mga ito ngay ang mga anak ng lalawigan na nagsiahon mula sa pagkabihag sa mga nayon na nangadala na dinala sa babilonia ni nabucodonosor na hari sa babilonia at nangagbalik sa jerusalem at sa juda na bawat isay sa kaniyang bayan,at ito ang anak na kaniyang sa lalawigan na simmangatda na kaniyang ang pannacacayaw ang naipanaw na si nabucodonosor na hari ang babilonia dinala nang sa babilonia at bumalik sa jerusalem sa sa juda bawat bukod sa kaniyang ,0.693327798105983
Dagidiay a kimmuyog cada Zorobabel Jesua Nehemias Seraias Reelaias Mardoko Bilsan Mispar Bigvai Rehum ken Baana,na nagsidating na kasama ni zorobabel si jesua si nehemias si seraias si reelias si mardocheo si bilsan si mispar si bigvai si rehum si baana,yaong na niya bata zorobabel jesua nehemias seraias reelaias mardoko bilsan mispar bigvai rehum sa baana,0.5475852746488653
Ti bilang dagiti lallaki cadagiti tattao ti Israel,ang bilang ng mga lalake ng bayan ng israel ay ito,ang bilang ang anak sa bayan ang israel,0.5137387260611069
Dagiti annac ni Paros duaribu sangagasut pitopuloda ket dua,ang mga anak ni paros dalawang libot isang daan at pitong put dalawa,ang anak si paros duaribu sangagasut angkan at walong,0.38762652855973284
Dagiti annac ni Sefatias tallogasut pitopuloda ket dua,ang mga anak ni sephatias tatlong daan at pitong put dalawa,ang anak si sefatias enoc angkan at walong,0.355164468768959
Dagiti annac ni Ara pitogasut pitopuloda ket lima,ang mga anak ni ara pitong daan at pitong put lima,ang anak si ara lamec angkan at labing,0.3561480253137716
Dagiti annac ni Paathmoab cadagiti annac ni Jesua ken Joab duaribu walo gasut ket sangapuloda ket dua,ang mga anak ni pahathmoab sa mga anak ni josue at ni joab dalawang libot walong daan at labing dalawa,ang anak si paathmoab sa anak si jesua sa joab duaribu walong siyam at jacob at walong ,0.4655612735023843
Dagiti annac ni Elam sangaribu dua gasut limapuloda ket uppat,ang mga anak ni elam isang libot dalawang daan at limang put apat,ang anak si elam libo walong tatlong limalimangpu at apat,0.5103914949790631
Dagiti annac ni Zattu siam a gasut uppat a puloda ket lima,ang mga anak ni zattu siyam na raan at apat na put lima,ang anak si zattu sara na siyam apat na israel at labing,0.6079069462820712
Dagiti annac ni Zacai pitogasutda ket innem a pulo,ang mga anak ni zachai pitong daan at anim na pu,ang anak si zacai pitogasutda at daan na apat,0.5475067376300049
Dagiti annac ni Bani innem a gasut uppat a puloda ket dua,ang mga anak ni bani anim na raan at apat na put dalawa,ang anak si bani daan na siyam apat na israel at walong,0.5481674104516279
Dagiti annac ni Bebai innem a gasut duapuloda ket tallo,ang mga anak ni bebai anim na raan at dalawang put tatlo,ang anak si bebai daan na siyam bayan at tatlong,0.5185972360042471
Dagiti annac ni Azgad sangaribu duagasut duapuloda ket dua,ang mga anak ni azgad isang libo at dalawang daan at dalawang put dalawa,ang anak si azgad libo duagasut bayan at walong,0.3294500156523462
Dagiti annac ni Adonicam innem a gasut innem a puloda ket innem,ang mga anak ni adonicam anim na raan at anim na put anim ,ang anak si adonicam daan na siyam daan na israel at daan ,0.4902219543068327
Dagiti annac ni Bigvai dua ribu limapuloda ket innem,ang mga anak ni bigvai dalawang libo at limang put anim,ang anak si bigvai dalawa libong limalimangpu at anim,0.712562256272792
Dagiti annac ni Adin uppat a gasut limapuloda ket uppat,ang mga anak ni adin apat na raan at limang put apat ,ang anak si adin apat na siyam limalimangpu at apat ,0.6548506562954501
Dagiti annac ni Ater ni Ezekias siam a puloda ket walo,ang mga anak ni ater ni ezechias siyam na put walo,ang anak si ater si ezechias sara na israel at walong,0.5991280643868713
Dagiti annac ni Besai tallogasut duapuloda ket tallo,ang mga anak ni besai tatlong daan at dalawang put tatlo,ang anak si besai enoc bayan at tatlong,0.42836580706931165
Dagiti annac ni Jora sangagasut sangapuloda ket dua,ang mga anak ni jora isang daan at labing dalawa,ang anak si jora isaac jacob at walong,0.4128465162198912
Dagiti annac ni Hasum duagasut duapuloda ket tallo,ang mga anak ni hasum ay dalawang daan at dalawang put tatlo,ang anak si hasum israel bayan at tatlong,0.3782346745142824
Dagiti annac ni Gibbar siam a puloda ket lima,ang mga anak ni gibbar siyam na put lima,ang anak si gibbar sara na israel at labing,0.49390745221640403
Dagiti annac ti Betlehem sangagasut duapuloda ket tallo,ang mga anak ni bethlehem isang daan at dalawang put tatlo,ang anak ang bethlehem isaac bayan at tatlong,0.5458971436146195
Dagiti lallaki a taga Netofa limapuloda ket innem,ang mga lalake ng nethopha limang put anim,ang anak na lalake netofa limalimangpu at anim,0.5608348207898357
Dagiti lallaki a taga Anatoth sangagasut duapuloda ket walo,ang mga lalake ng anathoth isang daan at dalawang put walo,ang anak na lalake anatoth sangagasut bayan at walong,0.5343868971456917
Dagiti annac ti Asmavet upat a puloda ket dua,ang mga anak ni azmaveth apat na put dalawa,ang anak ang asmavet upat na israel at walong,0.427236811152326
Dagiti annac ti Kiriathjearim Ceira ken Beerot pitogasut ket uppat a puloda ket tallo,ang mga anak ni chiriathjearim ni cephira at ni beeroth pitong daan at apat na put tatlo,ang anak ang kiriathjearim ceira sa beerot lamec at apat na israel at tatlong,0.5568323970746475
Dagiti annac ti Rama ken Gabaa innem a gasut duapuloda ket maysa,ang mga anak ni rama at ni gaaba anim na raan at dalawang put isa,ang anak ang rama sa gabaa daan na siyam bayan at bukod,0.4213729105472691
Dagiti lallaki a taga Micmas sangagasut duapuloda ket dua,ang mga lalake ng michmas isang daan at dalawang put dalawa,ang anak na lalake michmas sangagasut bayan at walong,0.4911514193843688
Dagiti lallaki a taga Betel ken Hai duagasut duapuloda ket tallo,ang mga lalake ng bethel at ng hai dalawang daan at dalawang put tatlo,ang anak na lalake una sa hai israel bayan at tatlong,0.3801375513489172
Dagiti annac ni Nebo limapuloda ket dua,ang mga anak ni nebo limang put dalawa,ang anak si nebo limalimangpu at walong,0.5641257886321199
Dagiti annac ni Magbis sangagasut limapuloda ket innem,ang mga anak ni magbis isang daan at limang put anim,ang anak si magbis isaac limalimangpu at anim,0.5868928311823406
Dagiti annac ni sabali nga Elam sangaribu duagasut limapuloda ket uppat,ang mga anak ng ibang elam isang libot dalawang daan at limang put apat,ang anak si dios na elam maaca duagasut limalimangpu at apat,0.41957452438778126
Dagiti annac ni Harim tallogasutda ket duapulo,ang mga anak ni harim tatlong daan at dalawang pu,ang anak si harim tallogasutda at dalawangpung,0.6121785810450134
Dagiti annac ti Lod Hadid ken Ono pitogasut duapuloda ket lima,ang mga anak ni lod ni hadid at ni ono pitong daan at dalawang put lima,ang anak ang lod hadid sa ono lamec bayan at labing,0.3807123889477199
Dagiti annac ti Jerico tallogasut uppat a puloda ket lima,ang mga anak ni jerico tatlong daan at apat na put lima,ang anak ang jerico enoc apat na israel at labing,0.4890544492653611
Dagiti annac ni Senaa talloribu ket innem a gasutda ket tallopulo,ang mga anak ni senaa tatlong libot anim na raan at tatlong pu,ang anak si senaa talloribu at daan na tao at tatlong,0.5306170977976202
Dagiti papadi dagiti annac ni Jedaia ti balay ni Jesua siam a gasut pitopuloda ket tallo,ang mga saserdote ang mga anak ni jedaia sa sangbahayan ng jesua siyam na raan at pitong put tatlo,ang saserdote ang anak si jedaia ang prinsipe si jesua sara na siyam angkan at tatlong,0.6145735545529536
Dagiti annac ni Immer sangaribu limapuloda ket dua,ang mga anak ni immer isang libo at limang put dalawa,ang anak si immer libo limalimangpu at walong,0.5253952550409748
Dagiti annac ni Pasur sangaribu dua gasut uppat a puloda ket pito,ang mga anak ni pashur isang libot dalawang daan at apat na put pito,ang anak si pasur libo walong tatlong apat na israel at pitong,0.4943045037060216
Dagiti annac ni Harim sangaribu sangapuloda ket pito,ang mga anak ni harim isang libo at labing pito,ang anak si harim libo jacob at pitong,0.5098424254454077
Dagiti Levitas dagiti annac da Jesua ken Cadmiel cadagiti annac ni Odovias pitopuloda ket uppat,ang mga levita ang mga anak ni jesua at ni cadmiel sa mga anak ni hodavias pitong put apat,ang levita ang anak moises jesua sa cadmiel sa anak si odovias angkan at apat,0.5641572938714032
Dagiti cumacanta dagiti annac ni Asaf sangagasut duapuloda ket walo,ang mga mangaawit ang mga anak ni asaph isang daan at dalawang put walo,ang mangaawit ang anak si asaf isaac bayan at walong,0.48982603071903835
Dagiti annac dagiti agaywan iti ruangan dagiti annac ni Sallum dagiti annac ni Ater dagiti annac ni Talmon dagiti annac ni Accub dagiti annac ni Hatita dagiti annac ni Sobai isuda amin sangagasut tallopuloda ket siam,ang mga anak ng mga tagatanodpinto ang mga anak ni sallum ang mga anak ni ater ang mga anak ni talmon ang mga anak ni accub ang mga anak ni hatita ang mga anak ni sobai ang lahat ay isang daan at tatlong put siyam,ang anak ang aking sa pintuan ang anak si gawa ang anak si ater ang anak si talmon ang anak si accub ang anak si hatita ang anak si sobai kanilang lahat sangagasut lahat at siam,0.5626912078758418
Dagiti Netineos dagiti annac ni Siha dagiti annac ni Hasafa dagiti annac ni Tabaot,ang mga nethineo ang mga anak ni siha ang mga anak ni hasupha ang mga anak ni thabaoth,ang netineos ang anak si siha ang anak si hasafa ang anak si tabaot,0.5112416167071395
Dagiti annac ni Keros dagiti annac ni Siaa dagiti annac ni Fadon,ang mga anak ni cheros ang mga anak ni siaa ang mga anak ni phadon,ang anak si keros ang anak si siaa ang anak si fadon,0.5331907260030886
Dagiti annac ni Lebana dagiti annac ni Hagaba dagiti annac ni Accub,ang mga anak ni lebana ang mga anak ni hagaba ang mga anak ni accub,ang anak si lebana ang anak si hagaba ang anak si accub,0.649176460032127
Dagiti annac ni Hagab dagiti annac ni Samlai dagiti annac ni Hanan,ang mga anak ni hagab ang mga anak ni samlai ang mga anak ni hanan,ang anak si hagab ang anak si samlai ang anak si hanan,0.6434129817574312
Dagiti annac ni Giddel dagiti annac ni Gaher dagiti annac ni Reaia,ang mga anak ni gidiel ang mga anak ni gaher ang mga anak ni reaia,ang anak si giddel ang anak si gaher ang anak si reaia,0.601346638826736
Dagiti annac ni Resin dagiti annac ni Necoda dagiti annac ni Gazam,ang mga anak ni resin ang mga anak ni necoda ang mga anak ni gazam,ang anak si resin ang anak si necoda ang anak si gazam,0.6434129817574312
Dagiti annac ni Uzza dagiti annac ni Fasea dagiti annac ni Besai,ang mga anak ni uzza ang mga anak ni phasea ang mga anak ni besai,ang anak si uzza ang anak si fasea ang anak si besai,0.5817353038164982
Dagiti annac ni Asena dagiti annac ni Meunim dagiti annac ni Nefusim,ang mga anak ni asena ang mga anak ni meunim ang mga anak ni nephusim,ang anak si asena ang anak si meunim ang anak si nefusim,0.6032654138616209
Dagiti annac ni Bacbuc dagiti annac ni Hakufa dagiti annac ni Harhur,ang mga anak ni bacbuc ang mga anak ni hacusa ang mga anak ni harhur,ang anak si bacbuc ang anak si hakufa ang anak si harhur,0.5896383267467192
Dagiti annac ni Baslut dagiti annac ni Mehida dagiti annac ni Harsa,ang mga anak ni bazluth ang mga anak ni mehida ang mga anak ni harsa,ang anak si baslut ang anak si mehida ang anak si harsa,0.5704293987598276
Dagiti annac ni Barcos dagiti annac ni Sisera dagiti annac ni Tema,ang mga anak ni bercos ang mga anak ni sisera ang mga anak ni tema,ang anak si barcos ang anak si sisera ang anak si tema,0.604331081047009
Dagiti annac ni Nesia dagiti annac ni Hatifa,ang mga anak ni nesia ang mga anak ni hatipha,ang anak si nesia ang anak si hatifa,0.580503341703719
Dagiti annac dagiti adadipen ni Salomon dagiti annac ni Sotai dagiti annac ni Soferet dagiti annac ni Peruda,ang mga anak ng mga lingkod ni salomon ay ang mga anak ni sotai ang mga anak ni sophereth ang mga anak ni peruda,ang anak ang adadipen si salomon ang anak si sotai ang anak si soferet ang anak si peruda,0.5212674021061866
Dagiti annac ni Jaala dagiti annac ni Darcon dagiti annac ni Giddel,ang mga anak ni jaala ang mga anak ni darcon ang mga anak ni giddel,ang anak si jaala ang anak si darcon ang anak si giddel,0.649176460032127
Dagiti annac ni Sefatias dagiti annac ni Hatil dagiti annac ni Foerethassebaim dagiti annac ni Amin,ang mga anak ni sephatias ang mga anak ni hatil ang mga anak ni pocherethhassebaim ang mga anak ni ami,ang anak si sefatias ang anak si hatil ang anak si foerethassebaim ang anak si lahat,0.5715809818349628
Amin dagiti Netineos ken dagiti annac dagiti adadipen ni Salomon tallo gasut siam a puloda ket dua,lahat ng mga nethineo at ng mga anak ng mga lingkod ni salomon tatlong daan at siyam na put dalawa,lahat ang netineos sa ang anak ang adadipen si salomon tatlo tatlong sara na israel at walong,0.482238480855285
Ket dagitoy isuda dagiti simmangat a naggapu iti Telmela Telharsa Kerub Addan ken Immer ngem dida nabalin nga imparangarang dagiti familia dagiti ammada ken ti capoonanda no isuda idi ti taga Israel,at ang mga ito ang nagsiahon mula sa telmela telharsa cherub addan at immer ngunit hindi nila naipakilala ang mga sangbahayan ng kanilang mga magulang at ang kanilang binhi kung silay taga israel,at ito ito ang simmangat na kaniyang sa telmela telharsa kerub nagkakabinhi sa immer ngunit hindi nabalin na ipinakilala ang levita ang kanilang sa ang capoonanda at ito nang ang lalake israel,0.632109403581293
Dagiti annac ni Delaia dagiti annac ni Tobias dagiti annac ni Necoda innem a gasut limapuloda ket dua,ang mga anak ni delaia ang mga anak ni tobias ang mga anak ni nicoda anim na raan at limang put dalawa,ang anak si delaia ang anak si tobias ang anak si necoda daan na siyam limalimangpu at walong,0.5847618904389655
Ket cadagiti annac dagiti papadi dagiti annac ni Habaia dagiti annac ni Cos dagiti annac ni Barzillai a nangala iti asawa cadigiti annac a babbai ni Barzillai a Galaadita ket nainaganan a mayannurot iti naganda,at sa mga anak ng mga saserdote ang mga anak ni abaia ang mga anak ni cos ang mga anak ni barzillai na nagasawa sa mga anak ni barzillai na galaadita at tinawag ayon sa kanilang pangalan,at sa anak ang saserdote ang anak si habaia ang anak si cos ang anak si barzillai na nangala sa asawa cadigiti anaceo na babae si barzillai na ibzan at itinawag na kanilang sa naganda,0.6879319073413187
Dagitoy sinapulda dagiti nacaisuratan cadagiti nabilang iti pinoonpoon ngem isuda dida nasaracan gapuna a naipatoda a narugit ket naiccatda iti kinapadi,ang mga ito ay nagsihanap ng talaan ng kanilang pangalan sa nangabilang ayon sa talaan ng lahi ngunit hindi nangasumpungan kayat silay nangabilang na hawa at nangaalis sa pagkasaserdote,ito sinapulda ang nacaisuratan sa eliab sa pinoonpoon ngunit silay hindi hindi kaya na naipatoda na hayop at naiccatda sa hanggan,0.3294790197573773
Ket ti gobernador kinunana cadacuada a dida mangan cadagiti casasantoanan a banag agingga iti adda agtacder a padi iti Urim ken iti Tummim,at sinabi ng tagapamahala sa kanila na silay huwag magsisikain ng mga pinakabanal na bagay hanggang sa tumayo ang isang saserdote na may urim at thummim,at ang ahicam sinabi kanila na sila kakain sa casasantoanan na bagay lumusong sa nagkaroon tumayo na saserdote sa pektoral sa sa thummim,0.5420013004282067
Ti amin a gimong a nagtitipon uppat a pulo ket dua ribu tallogasut ket innem a puloda,ang buong kapisanang magkakasama ay apat na put dalawang libo at tatlong daan at anim na pu,ang lahat na kapisanan na magkasama apat na apat at walong libong enoc at daan na israel,0.6043863576804434
Sabali laeng dagiti adadipen a lallaki ken babbai a pito ribu tallogasut ket tallopuloda ket pito ket addaanda idi iti duagasut a cumacanta a lallaki ken babbai,bukod sa kanilang mga aliping lalake at babae na may pitong libot tatlong daan at tatlong put pito at silay nangagkaroon ng dalawang daan na mangaawit na lalake at babae ,dios at ang adadipen na anak sa babae na araw libo enoc at lahat at pitong at nagkaroon nang sa israel na mangaawit na anak sa babae ,0.4477443870153849
Dagiti cabayoda pitogasut tallopuloda ket innem dagiti muloda duagasut uppat a puloda ket lima,ang kanilang mga kabayo ay pitong daan at tatlong put anim ang kanilang mga mula ay dalawang daan at apat na put lima,ang cabayoda lamec lahat at daan ang muloda israel apat na israel at labing,0.2794236269513526
Dagiti camelloda uppat a gasut tallopuloda ket lima dagiti asasnoda innem a ribu pitogasutda ket duapulo,ang kanilang mga kamelyo apat na raan at tatlong put lima ang kanilang mga asno anim na libot pitong daan at dalawang pu,ang camelloda apat na siyam lahat at labing ang asasnoda daan na libo pitogasutda at dalawangpung,0.4481384146516428
Ket ti dadduma cadagiti pangoloen dagiti balbalay dagiti amma idi immayda iti balay ni Jehova nga adda idiay Jerusalem nagidatonda a sibubulos ti nakemda maipaay iti balay ti Dios tapno isu ti bangonenda iti daydi saadna,at ang ilan sa mga pangulo ng mga sangbahayan ng mga magulang nang silay magsidating sa bahay ng panginoon na nasa jerusalem ay nangaghandog na kusa sa bahay ng dios upang husayin sa kinatatayuan,at ang dadduma sa sinabi ang balbalay ang sangbahayan nang naparoon sa bahay si panginoon na nagkaroon sa jerusalem nagidatonda na handog ang nakemda sino sa bahay ang dios upang kaniyang ang bangonenda sa yaon anak,0.5768048266637716
Intedda a mayannurot iti cabaelanda idiay paggamengan ti aramid ti innem a pulo ket maysa a ribu a daric a balitoc ken limaribu a libra a pirac ken sangagasut a cawes ti sacerdote,silay nangagbigay ayon sa kanilang kaya sa ingatangyaman ng gawain na anim na put isang libong darikong ginto at limang libong librang pilak at isang daan na bihisan ng mga saserdote,nila na kanilang sa cabaelanda sa paggamengan ang nilalang ang anim na apat at isang na libo na daric na ginto sa limaribu na ginto na pilak sa isaac na epod ang sacerdote,0.4950184835144626
Iti casta dagiti papadi ken dagiti Levitas ken dadduma cadagiti tattao ken dagiti cumacanta ken dagiti agaywan iti ruangan ken dagiti Nethineos nagnaedda cadagiti ililida ken amin nga Israel cadagiti ililida,gayon ang mga saserdote at ang mga levita at ang iba sa bayan at ang mga mangaawit at ang mga tagatanodpinto at ang mga nethineo nagsitahan sa kanilang mga bayan at ang buong israel ay sa kanilang mga bayan ,sa gayoy ang saserdote sa ang levita sa iba sa bayan sa ang mangaawit sa ang aking sa pintuan sa ang nethineos humalili sa kanilang sa lahat na israel sa kanilang ,0.5178411304891917
Ket idi nadanon iti maicapito a bulan ket addan dagiti annac ti Israel cadagiti ilili naguornong dagiti tattao a cas maysa a tao idiay Jerusalem,at nang dumating ang ikapitong buwan at ang mga anak ni israel ay nangasa mga bayan ang bayan ay nagpipisan na parang isang tao sa jerusalem,at nang nadanon sa ikapitong na buwan at nagkakabinhi ang anak ang israel sa ilili naguornong ang bayan na at isa na tao sa jerusalem,0.62930237492977
Idin nagtacder ni Jesua nga anac ni Josadec ken dagiti cacabsatna a papadi ken ni Zorobabel nga anac ni Sealtiel ken cadagiti cacabsatna a lallaki ket binangonda ti altar ti Dios ti Israel tapno idatagda iti rabawna dagiti datdaton a mapuuran cas naisurat iti linteg ni Moises a lalaki ti Dios,nang magkagayoy tumayo si jesua na anak ni josadec at ang kaniyang mga kapatid na mga saserdote at si zorobabel na anak ni sealthiel at ang kaniyang mga kapatid at itinayo ang dambana ng dios ng israel upang paghandugan ng mga handog na susunugin gaya ng nasusulat sa kautusan ni moises na lalake ng dios ,hindi tumayo si jesua na anak si josadec sa ang jacob na saserdote sa si zorobabel na anak si sealtiel sa sa jacob na anak at itinayo ang dambana ang dios ang israel upang ihaharap sa ibabaw ang datdaton na handog at nasusulat sa batas si moises na lalaking ang dios ,0.6153682380999239
Ket insaadda ti altar iti rabaw ti pagbatayanna ta adda buteng idi cadacuada a gapu cadagiti tattao dagiti dagdagada ket indatagda iti rabawna dagiti datdaton a mapuuran ken Jehova a datdaton a mapuuran met laeng iti bigat ken iti malem,at ipinatong nila ang dambana sa tungtungan niya sapagkat ang takot ay sumakanila dahil sa mga bayan ng mga lupain at kanilang pinaghandugan ng mga handog na susunugin sa panginoon sa makatuwid bagay ng mga handog na susunugin sa umagat hapon,at inilagay ang dambana sa ibabaw ang pagbatayanna at nagkaroon ayon nang kanila na dahil sa bayan ang dagdagada at namatay sa ibabaw ang datdaton na handog sa panginoon na datdaton na handog kaniyang at sa kinaumagahan sa sa hapon,0.5524002097035754
Ket nginilinda ti fiesta dagiti tabernaculo a cas naisurat ken indatagda dagiti datdaton a mapuuran iti inaldaw a binilang a mayalubog iti linteg cas sapulen ti rebbeng ti inaldaw,at kanilang ipinagdiwang ang kapistahan ng mga balag gaya ng nasusulat at naghandog ng mga handog na susunugin sa arawaraw ayon sa bilang ayon sa ayos gaya ng katungkulang kinakailangan sa bawat araw,at nginilinda ang ipangingilin ang tabernakulo na at nasusulat sa namatay ang datdaton na handog sa arawaraw na moises na kanilang sa batas at mong ang tungkulin ang arawaraw ,0.49471511538780905
