INPUT,REFERENCE,MACHINE_TRANSLATION,TER_Score,Average TER_Score
Ket ti Dios kinunana Aramidentayo coma ti tao iti ladawantayo cas caaspingtayo ket iturayanda coma dagiti icican ti taaw ken dagiti tumatayab cadagiti langit ken dagiti ananimal ken ti amin a daga ken dagiti amin nga agcarcarayam nga aguyuyas iti rabaw ti daga,at sinabi ng dios lalangin natin ang tao sa ating larawan ayon sa ating wangis at magkaroon sila ng kapangyarihan sa mga isda sa dagat at sa mga ibon sa himpapawid at sa mga hayop at sa buong lupa at sa bawat umuusad na nagsisiusad sa ibabaw ng lupa ,at ang dios sinabi susunugin ang ang tao sa ating at caaspingtayo at iturayanda ang ang icican ang dagat sa ang ibon sa langit sa ang ananimal sa ang lahat na lupain sa ang lahat na umuusad na aguyuyas sa ibabaw ang lupain ,69.39,
Ket ti Dios pinarsuana ti tao a caladawanna met laeng iti ladawan ti Dios pinarsuana pinarsuana ida a lalaki ken babai,at nilalang ng dios ang tao ayon sa kaniyang sariling larawan ayon sa larawan ng dios siya nilalang nilalang niya sila na lalake at babae,at ang dios nilikha ang tao na kaniyang kaniyang at sa terap ang dios nilikha nilikha sila na lalake sa babae,60.0,
Ket ti Dios binendicionanna ida ket ti Dios kinunana cadacuada Agbungacayo ket agaducayo ket punnoenyo ti daga agbalincayo nga Appo kencuana ket iturayanyo dagiti ican ti taaw ken dagiti tumatayab cadagiti langit ken amin nga parsua a sibibiag nga aggaraw iti rabaw ti daga,at silay binasbasan ng dios at sa kanilay sinabi ng dios kayoy magpalaanakin at magpakarami at kalatan ninyo ang lupa at inyong supilin at magkaroon kayo ng kapangyarihan sa mga isda sa dagat at sa mga ibon sa himpapawid at sa bawat hayop na gumagalaw sa ibabaw ng lupa ,at ang dios binasbasan sila at ang dios sinabi kanila magpalaanakin at magpakarami at punuin ang lupain agbalincayo na appo kaniya at iturayanyo ang ican ang dagat sa ang ibon sa langit sa lahat na parsua na panginoon na nabubuhay sa ibabaw ang lupain ,69.39,
Ket ti Dios kinunana Adtoy iniccancayo iti isuamin a roroot nga addan bukel nga adda iti rabaw ti amin a daga ken isuamin a cayo nga addaan bunga nga agpataud ti bini maipaaydanto a canenyo,at sinabi ng dios narito ibinigay ko sa inyo ang bawat pananim na nagkakabinhi na nasa ibabaw ng balat ng lupa at ang bawat punong kahoy na may bunga ng punong kahoy na nagkakabinhi sa inyoy magiging pagkain,at ang dios sinabi narito iniccancayo sa isuamin na roroot na nagkakabinhi kaniyang na nagkaroon sa ibabaw ang lahat na lupain sa isuamin na kahoy na may bunga na nagkakabinhi ang bini nagkakabinhi na pagkain,65.79,
Ken cadagiti isuamin nga ananimal iti daga ken amin a tumatayab iti langit ken amin nga aggaraw iti rabaw ti daga nga addaan biag maipaay coma cadacuada a canenda ti amin a nalasbang a root ket naaramid a casta,at sa bawat hayop sa lupa at sa bawat ibon sa himpapawid at sa bawat nagsisiusad sa ibabaw ng lupa na may buhay ay ibinigay ko ang lahat na pananim na sariwa na pinakapagkain at nagkagayon,sa sa isuamin na ananimal sa lupain sa lahat ibon sa langit sa lahat na nabubuhay sa ibabaw ang lupain na may biag sino ang kanila na kanilang ang lahat na nalasbang na damo at nagkagayon na ,63.89,
Ket ti Dios nakitana amin nga inaramidna ket adtoy nasayaatda unay Ket naadda ti malem ken ti bigat aldaw a maicanem,at nakita ng dios ang lahat ng kaniyang nilikha at narito napakabuti at nagkahapon at nagkaumaga ang ikaanim na araw,at ang dios nakita lahat na mataas at narito nasayaatda kaniyang at nagkahapon ang hapon sa ang kinaumagahan araw na ikaanim,60.0,
Maaramid ti Tao ket maisaad sadiay Eden Maala ti Babai iti Tao,nilalang ang lalake at inilagay sa eden nilalang ang babae mula sa lalake ,mangyayari ang tao at roon roon eden tirsa ang babae sa tao ,53.85,
Ket nalpasen dagiti langit ken ti daga ken amin nga orornosna,at nayari ang langit at ang lupa at ang lahat na natatanaw sa mga iyon,at nayari ang langit sa ang lupain sa lahat na orornosna,53.33,
Ket iti maicapito nga aldaw ti Dios lineppasna ti gapuanan nga inaramidna ket naginana iti maicapito nga aldaw cadagiti isuamin a gapuanan nga inaramidna,at nang ikapitong araw ay nayari ng dios ang kaniyang gawang ginawa at nagpahinga ng ikapitong araw sa madlang gawa niyang ginawa ,at sa ikapitong na araw ang dios niyari ang kaniyang na mataas at nagpahinga sa ikapitong na araw sa isuamin na kaniyang na mataas ,68.18,
Ket binendicionan ti Dios ti aldaw a maicapito ket sinantificarna agsipud ta kencuana ti naginanaanna cadagiti amin a gapuanan a ti Dios pinarsuana ken inaramidna,at binasbasan ng dios ang ikapitong araw at kaniyang ipinangilin sapagkat siyang ipinagpahinga ng dios sa madlang gawang kaniyang nilikha at ginawa,at pinagpala ang dios ang araw na ikapitong at sinantificarna at at kaniya ang ipinagpahinga sa lahat na kaniyang na ang dios nilikha sa niya,81.82,
Dagitoy isuda ti capupunganay dagiti langit ken ti daga idi a naparsuada iti aldaw a pinangaramid ni Jehova a Dios ti daga ken ti langit,ito ang pinangyarihan ng langit at ng lupa nang likhain noong araw na gawin ng panginoong dios ang lupat langit ,ito ito ang capupunganay ang langit sa ang lupain nang na naparsuada sa araw na pinangaramid si panginoon na dios ang lupain sa ang langit ,80.0,
Ket idi awan pay la ti mula ti langalang iti daga ket awan pay ti roroot a timmubo ta di pay pinagtudo ni Jehova Dios iti rabaw ti daga ken awan pay la idi ti tao a mangtalon iti daga,at wala pa sa lupang kahoy sa parang at wala pang anomang pananim na tumutubo sa parang sapagkat hindi pa pinauulanan ng panginoong dios ang lupa at wala pang taong magbukid ng lupa ,at nang namay pa hindi ang mula ang giba sa lupain at namay pa ang roroot na sapagkat at baka pa pinauulanan si panginoon dios sa ibabaw ang lupain sa jacob pa hindi nang ang tao na mangtalon sa lupain ,93.94,
Ngem nagpangato ti maysa nga angep a naggapu iti daga ket binisibisanna ti amin a rabaw ti daga,ngunit may isang ulap na napaitaas buhat sa lupa at dinilig ang buong ibabaw ng lupa ,ngunit napaiitaas ang isa na napaitaas na kaniyang sa lupain at dinilig ang lahat na ibabaw ang lupain ,62.5,
Ket ni Jehova Dios binukelna ti tao iti tapuc ti daga ket impuyotna iti agongna ti anges ti biag ket ti tao nagbalin a cararua a sibibiag,at nilalang ng panginoong dios ang tao sa alabok ng lupa at hiningahan ang kaniyang mga butas ng ilong ng hininga ng buhay at ang tao ay naging kaluluwang may buhay ,at si panginoon dios binukelna ang tao sa nangagsisiusad ang lupain at hiningahan sa kaniyang ang anges ang mo at ang tao naging na kaluluwa na panginoon ,67.74,
Ket ni Jehova Dios incabilna iti maysa a minuyongan iti daya idiay Eden ket insaadna idiay ti tao a binukelna,at naglagay ang panginoong dios ng isang halamanan sa eden sa dakong silanganan at inilagay niya roon ang taong kaniyang nilalang,at si panginoon dios inilagay sa isa na halamanan sa silanganan sa eden at insaadna sa ang tao na kaniyang,66.67,
Ket ni Jehova Dios pinatubona iti daga amin a cayo a nacaayayo a makita ken naimbag a canen casta met ti cayo ti biag iti tengnga ti minuyongan ken ti cayo ti pannacaammo ti imbag ken ti dakes,at pinatubo ng panginoong dios sa lupa ang lahat na punong kahoy na nakalulugod sa paningin at mabubuting kanin gayon din ang punong kahoy ng buhay sa gitna ng halamanan at ang punong kahoy ng pagkakilala ng mabuti at masama,at si panginoon dios pinatubona sa lupain lahat na kahoy na nacaayayo na makita sa mabuti na lumabas gayoy din ang kahoy ang mo sa gitna ang halamanan sa ang kahoy ang pagkakilala ang kaawaan sa ang masama,62.5,
Ket nagayus idiay Eden ti maysa a carayan a mangsibug iti minuyongan ket nanipud idiay nagcappat ti ayusna,at may isang ilog na lumabas sa eden na dumilig sa halamanan at mula rooy nabahagi at nagapat na sanga,at may sa eden ang isa na ilog na halamanan sa halamanan at mula sa nagcappat ang ayusna,55.0,
Ti nagan ti umuna Pishon daytoy isu ti manglawlaw iti amin ti daga ti Havila isa a yan ti balitoc,ang pangalan ng una ay pison na siyang lumiligid sa buong lupain ng havilah na dooy may ginto,ang pangalan ang una una ito kaniyang ang siyang sa lahat ang lupain ang havila isa na dako ang ginto,72.22,
Ket ti balitoc iti daydiay a daga nasayaat adda idiay dagiti batbato a bedelio ken onix,at ang ginto sa lupang yaoy mabuti mayroon din naman doong bedelio at batong onix,at ang ginto sa kaniyang na lupain bahay nagkaroon sa ang bato na bedelio sa onix,73.33,
Ti nagan ti maicadua a carayan Gijon daytoy ti manglawlaw iti amin a daga ti Etiopia,at ang pangalan ng ikalawang ilog ay gihon na siyang lumiligid sa buong lupain ng cush,ang pangalan ang ikalawang na ilog gihon ito ang siyang sa lahat na lupain ang ethiopia,68.75,
Ket ti nagan ti maicatlo a carayan Hiddekel daytoy ti agturong iti sangoanan ti daga nga Assiria Ket ti maicappat a carayan isu ti Eufrates,at ang pangalan ng ikatlong ilog ay hiddecel na siyang umaagos sa tapat ng asiria at ang ikaapat na ilog ay ang eufrates,at ang pangalan ang ikatlong na ilog hiddekel ito ang siyang sa panginoon ang lupain na assiria at ang ikaapat na ilog kaniyang ang eufrates,52.17,
Ket ni Jehova Dios innalana ti tao ket insaadna iti minuyongan idiay Eden tapno talonenna ken aywananna,at kinuha ng panginoong dios ang lalake at inilagay sa halamanan ng eden upang kaniyang alagaan at ingatan,at si panginoon dios kinuha ang tao at ipinatong sa halamanan sa eden upang kaniyang sa aywananna,50.0,
Ket ni Jehova Dios imbilinna idi tao a kinunana cadagiti amin a cayo iti minuyongan mangancanto a siwayawaya,at iniutos ng panginoong dios sa lalake na sinabi sa lahat ng punong kahoy sa halamanan ay makakakain ka na may kalayaan,at si panginoon dios huwag nang tao na kaniyang sa lahat na kahoy sa halamanan kakain na makakakain,63.64,
Ngem ti aggapu iti cayo ti pannacaammo ti imbag ken ti dakes saanmonto a canen ta iti aldaw a pannanganmo iti daydiay mataycanto a di bumurong,datapuwat sa kahoy ng pagkakilala ng mabuti at masama ay huwag kang kakain sapagkat sa araw na ikaw ay kumain niyaon ay walang pagsalang mamamatay ka,ngunit ang pinagbilhan sa kahoy ang pagkakilala ang kaawaan sa ang masama manata na lumabas at sa araw na kumain sa kaniyang mamamatay na hindi pagsala,80.77,
Ket ni Jehova Dios kinunana Saan a nasayaat nga agmaymaysa ti tao yaramidacto ti catulonganna a maitutop kencuana,at sinabi ng panginoong dios hindi mabuti na ang lalake ay magisa siyay ilalalang ko ng isang katulong niya,at si panginoon dios sinabi ba na bahay na kasama ang tao yaramidacto ang ko na pamamaga kaniya,84.21,
Ni Jehova Dios binukelna iti daga amin nga ananimal iti daga ken amin a tumatayab cadagiti langit ket inyegna ida iti tao tapno makitana no casano ti panangpanaganna cadacuada ket cas ti pinangnagan ti tao iti amin a parsua a sibibiag dayta isu ti naganna,at nilalang ng panginoong dios sa lupa ang lahat ng hayop sa parang at ang lahat ng ibon sa himpapawid at pinagdadala sa lalake upang maalaman kung anong itatawag niya sa mga iyon at ang bawat itinawag ng lalake sa bawat kinapal na may buhay ay yaon ang naging pangalan niyaon,si panginoon dios binukelna sa lupain lahat na ananimal sa lupain sa lahat na ibon sa langit at dinala sila sa tao upang magkabikabilang at paanong ang panangpanaganna kanila at at ang pinangnagan ang tao sa lahat na may na panginoon hinabol kaniyang ang kaniyang ,74.51,
Ket pinanaganan ti lalaki amin nga animal a naamo ken tumatayab iti langlangit ken ti amin a narungsot iti away ngem ti tao saan a nacasarac ti catulongan a maitutop kencuana,at pinanganlan ng lalake ang lahat ng mga hayop at ang mga ibon sa himpapawid at ang bawat ganid sa parang datapuwat sa lalake ay walang nasumpungang maging katulong niya,at pinanganlan ang lalake lahat na makakain na naamo sa ibon sa langit sa ang lahat na hayop sa yumaon ngunit ang tao ba na nacasarac ang catulongan na pamamaga kaniya,76.67,
Ket ni Jehova Dios immapayna ti nargaan a turog iti tao ket nacaturog ket innalana ti maysa cadagiti paragpagna ket ti nangalaanna rinipcanna ti lasag,at hinulugan ng panginoong dios ng di kawasang himbing ang lalake at siyay natulog at kinuha ang isa sa kaniyang mga tadyang at pinapaghilom ang laman sa dakong yaon,at si panginoon dios immapayna ang nargaan na lalake sa tao at nacaturog at kinuha ang isa sa itaas at ang nangalaanna pinapaghilom ang laman,62.07,
Ket ti paragpag nga innala ni Jehova Dios pinagbalinna a babai ket inyegna iti tao,at ang tadyang na kinuha ng panginoong dios sa lalake ay ginawang isang babae at itoy dinala niya sa lalake ,at ang paragpag na dinala si panginoon dios pinagbalinna na babae at dinala sa tao,60.0,
Ket di tao kinunana Daytoy ita isu ti tulang dagiti tulangco ken lasag ti lasagco isu mapanagananto Babai ta iti Tao ti nacaalaanna,at sinabi ng lalake ito ngay buto ng aking mga buto at laman ng aking laman siyay tatawaging babae sapagkat sa lalake siya kinuha,at baka lalaking sinabi ito ngayon kaniyang ang tulang ang aking sa laman ang laman kaniyang mapanagananto babae at sa tao ang nacaalaanna,75.0,
Gapuna ti lalaki panawannanto ti amana ken ti inana ket tumiponto iti asawana ket agbalindanto a maymaysa a lasag,kayat iiwan ng lalake ang kaniyang ama at ang kaniyang ina at makikipisan sa kaniyang asawa at silay magiging isang laman,kaya ang lalake panawannanto ang kaniyang sa ang kaniyang at tumiponto sa kaniyang at mangungulila na iisa na laman,61.9,
Ket isuda a dua ti lalaki ken ti asawana silamolamoda idi ket dida nagbain,at silay kapuwa hubad ang lalake at ang kaniyang asawa at silay hindi nagkakahiyaan,at ito na dalawa ang lalake sa ang kaniyang asawa nang at hindi nagbain,50.0,
Ti Pannacasulisog ken Supring da Adan ken Eva,ang tukso at ang pagsuway ni adam at ni eva,ang tukso sa pagsuway moises naging sa kaniyang,70.0,
Ti Pannacapagtalawda sadiay Eden,ang ahas nga ay lalong tuso kay sa alin man sa mga hayop sa parang na nilikha ng panginoong dios,ang ahas macpela eden,90.0,
Itan ti uleg isu idi a casisicapan cadagiti amin nga animal iti daga nga inaramid ni Jehova Dios,at sinabi niya sa babae tunay bang sinabi ng dios huwag kayong kakain sa alin mang punong kahoy sa halamanan,sinabi ang ahas kaniyang nang na casisicapan sa lahat na hayop sa lupain na ginawa si panginoon dios,90.0,
Ket isu kinunana iti babai Pudno aya a kinuna ti Dios Saancay a mangan iti amin a cayo iti minuyongan,at sinabi ng babae sa ahas sa bunga ng mga punong kahoy sa halamanan ay makakakain kami,at kaniyang sinabi sa babae tunay ba na hari ang dios halamanan na alin sa lahat na kahoy sa halamanan ,88.24,
Ket ti babai kinunana iti uleg cadagiti bunga dagiti caycayo iti minuyongan maipalubos a mangancami,datapuwat sa bunga ng punong kahoy na nasa gitna ng halamanan ay sinabi ng dios huwag kayong kakain niyaon ni huwag ninyong hihipuin baka kayoy mamatay,at ang babae sinabi sa ahas sa bunga ang kahoy sa halamanan sinabi na dios,88.46,
Ngem iti bunga ti cayo nga adda iti tengnga ti minuyongan kinuna ti Dios Dicayto canen ken uray sagiden di la ket ta mataycayo,at sinabi ng ahas sa babae tunay na hindi kayo mamamatay,ngunit sa bunga ang kahoy na nagkaroon sa gitna ang halamanan sinabi ang dios huwag kakanin sa kahit natin baka kanilang at at mataycayo,200.0,
Ket ti uleg kinunana iti babai Saan a pudno a mataycayonto,sapagkat talastas ng dios na sa araw na kayoy kumain niyaon ay madidilat nga ang inyong mga mata at kayoy magiging parang dios na nakakakilala ng mabuti at masama,at ang ahas sinabi sa babae ba na tunay na madidilat,93.1,
Ta ti Dios ammona nga iti aldaw a pananganyo iti dayta dagiti matayo maluctandanto ket caslacayton iti Dios a macaammo ti naimbag ken ti dakes,at nang makita ng babae na ang bunga ng punong kahoy ay mabuting kanin at nakalulugod sa mga mata at kahoy na mananasa upang magpapantas sa tao ay pumitas siya ng bunga niyaon at kinain at binigyan din niya ang kaniyang asawang kasama niya at itoy kumain,at ang dios aking na sa araw na bunga sa panginoon ang inyong kanin at nakalulugod sa dios na bagay ang mabuti sa ang masama,80.85,
Ket idi ti babai nakitana nga ti cayo nasayaat a canen ken macaayayo a buyaen ken cayo a macagargari a mamagsirib pimmuros iti bungana ket nangan casta met iniccanna ni asawana ket isu nakipagcaan met,at nadilat kapuwa ang kanilang mga mata at kanilang nakilalang silay mga hubad at silay tumahi ng mga dahon ng puno ng igos at kanilang ginawang panapi,at nang ang babae nakita na ang kahoy mabuti na lumabas sa hubad na buyaen sa kahoy na macagargari na mamagsirib igos sa kayo at ginawang may din nagbigay si kaniyang at kaniyang nakipagcaan din ,118.52,
Ket dagiti matmatada a dua naluctanda ket naammoanda a silalamolamoda idin nagdaitda cadagiti bulong ti higos ket inaramidda a bidangda,at narinig nila ang tinig ng panginoong dios na lumalakad sa halamanan sa kulimlim ng araw at nagtago ang lalake at ang kaniyang asawa sa harapan ng panginoong dios sa pagitan ng mga punong kahoy sa halamanan ,at ang matmatada na dalawa naluctanda at lumalakad na silalamolamoda sila nagdaitda sa kulimlim ang puno at gumawa na lalake,83.78,
Ket nangngegda ti timec ni Jehova Dios a magmagna iti minuyongan iti lamiis ti aldaw ket naglemmeng ti lalaki ken ti asawana cadagiti cacaycayoan iti minuyongan iti imatang ni Jehova Dios,at tinawag ng panginoong dios ang lalake at sa kaniyay sinabi saan ka naroon,at nangatakot ang dininig si panginoon dios na magmagna sa halamanan sa ka ang araw at nagtago ang lalake sa ang asawana sa cacaycayoan sa halamanan sa paningin si panginoon dios ,185.71,
Ket inawagan ni Jehova Dios ti lalaki ket kinunana kencuana Sadino ti yanmo sica,at sinabi niya narinig ko ang iyong tinig sa halamanan at akoy natakot sapagkat akoy hubad at akoy nagtago,at sinabi si panginoon dios ang lalake at sinabi kaniya saan ang paa ikaw,78.95,
